iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
72,0.2517,-0.05124693,0.89880985,-0.82542646,-0.053204726,-0.65293616,0.23807617,-0.05124693,0.43893597,0.59695625
73,0.2516,-0.051642317,0.89860713,-0.825625,-0.053575326,-0.65310663,0.23802032,-0.051642317,0.43781134,0.5961157
74,0.2515,-0.05203285,0.89840704,-0.8258207,-0.05394004,-0.65327483,0.23796749,-0.05203285,0.43670732,0.59529144
75,0.2515,-0.05241863,0.89820945,-0.82601357,-0.054298986,-0.65344083,0.23791762,-0.05241863,0.43562353,0.59448314
76,0.2514,-0.05279976,0.8980143,-0.8262037,-0.05465228,-0.6536047,0.23787065,-0.05279976,0.4345596,0.5936905
77,0.2514,-0.05317634,0.8978216,-0.82639116,-0.05500004,-0.65376645,0.23782653,-0.05317634,0.4335152,0.59291327
78,0.2513,-0.053548463,0.8976312,-0.826576,-0.055342376,-0.6539262,0.23778518,-0.053548463,0.43248996,0.59215117
79,0.2513,-0.053916227,0.8974432,-0.82675827,-0.055679396,-0.6540839,0.23774655,-0.053916227,0.43148354,0.5914039
80,0.2512,-0.054279722,0.8972574,-0.826938,-0.05601121,-0.65423965,0.2377106,-0.054279722,0.43049562,0.59067124
81,0.2512,-0.05463904,0.89707386,-0.82711524,-0.056337923,-0.6543935,0.23767726,-0.05463904,0.42952585,0.5899529
82,0.2511,-0.05499427,0.8968925,-0.82729006,-0.05665964,-0.6545455,0.23764649,-0.05499427,0.4285739,0.5892486
83,0.2511,-0.055345498,0.89671326,-0.8274625,-0.056976456,-0.65469563,0.23761822,-0.055345498,0.42763948,0.5885581
84,0.251,-0.055692807,0.8965361,-0.8276326,-0.057288475,-0.654844,0.23759241,-0.055692807,0.42672223,0.58788115
85,0.251,-0.056036282,0.896361,-0.82780045,-0.057595793,-0.65499055,0.23756902,-0.056036282,0.42582187,0.5872175
86,0.2509,-0.056376003,0.8961879,-0.82796603,-0.057898507,-0.6551354,0.23754798,-0.056376003,0.42493808,0.5865669
87,0.2509,-0.05671205,0.8960167,-0.8281295,-0.058196705,-0.65527856,0.23752925,-0.05671205,0.42407057,0.58592916
88,0.2508,-0.0570445,0.8958475,-0.82829076,-0.05849048,-0.6554201,0.23751278,-0.0570445,0.42321905,0.585304
89,0.2508,-0.057373427,0.8956801,-0.82844996,-0.058779925,-0.6555601,0.23749854,-0.057373427,0.42238322,0.5846912
90,0.2508,-0.057698905,0.8955146,-0.8286071,-0.059065126,-0.6556984,0.23748647,-0.057698905,0.4215628,0.5840906
91,0.2507,-0.05802101,0.8953509,-0.8287622,-0.05934617,-0.6558352,0.23747651,-0.05802101,0.4207575,0.5835019
92,0.2507,-0.058339808,0.8951889,-0.8289153,-0.059623137,-0.6559705,0.23746864,-0.058339808,0.41996706,0.58292484
93,0.2507,-0.05865537,0.8950287,-0.8290665,-0.05989611,-0.6561043,0.23746283,-0.05865537,0.4191912,0.5823593
94,0.2506,-0.058967765,0.89487016,-0.8292158,-0.06016517,-0.6562367,0.23745902,-0.058967765,0.41842967,0.58180505
95,0.2506,-0.059277058,0.8947133,-0.8293633,-0.060430396,-0.65636766,0.23745717,-0.059277058,0.4176822,0.5812618
96,0.2506,-0.059583314,0.894558,-0.82950896,-0.060691867,-0.65649724,0.23745725,-0.059583314,0.41694853,0.5807295
97,0.2506,-0.059886597,0.89440435,-0.82965285,-0.060949657,-0.6566255,0.2374592,-0.059886597,0.41622838,0.58020777
98,0.2505,-0.060186967,0.89425224,-0.829795,-0.06120384,-0.65675247,0.237463,-0.060186967,0.41552156,0.57969654
99,0.2505,-0.060484488,0.8941017,-0.82993543,-0.06145449,-0.6568781,0.2374686,-0.060484488,0.4148278,0.57919556
100,0.2505,-0.060779214,0.8939526,-0.8300742,-0.061701674,-0.6570025,0.23747598,-0.060779214,0.41414684,0.5787047
101,0.2504,-0.06107121,0.89380497,-0.8302113,-0.061945464,-0.65712565,0.2374851,-0.06107121,0.41347846,0.57822376
102,0.2504,-0.061360527,0.89365876,-0.8303468,-0.062185932,-0.6572476,0.23749591,-0.061360527,0.41282243,0.57775253
103,0.2504,-0.06164722,0.893514,-0.83048075,-0.06242314,-0.65736836,0.2375084,-0.06164722,0.41217852,0.57729083
104,0.2504,-0.06193135,0.89337057,-0.83061314,-0.062657155,-0.6574879,0.23752253,-0.06193135,0.41154653,0.5768385
105,0.2504,-0.062212963,0.89322853,-0.830744,-0.06288804,-0.65760636,0.23753825,-0.062212963,0.41092622,0.57639533
106,0.2503,-0.062492114,0.8930878,-0.8308734,-0.06311586,-0.6577237,0.23755553,-0.062492114,0.4103174,0.5759612
107,0.2503,-0.062768854,0.8929484,-0.8310014,-0.06334067,-0.65784,0.23757437,-0.062768854,0.4097198,0.5755359
108,0.2503,-0.06304323,0.8928102,-0.83112794,-0.06356254,-0.6579552,0.23759471,-0.06304323,0.40913326,0.57511926
109,0.2503,-0.063315295,0.8926733,-0.8312531,-0.06378152,-0.6580694,0.23761652,-0.063315295,0.40855756,0.57471114
110,0.2503,-0.06358509,0.8925376,-0.8313769,-0.06399768,-0.6581825,0.23763978,-0.06358509,0.40799254,0.57431144
111,0.2502,-0.06385267,0.8924031,-0.8314994,-0.06421106,-0.6582947,0.23766448,-0.06385267,0.40743795,0.57391995
112,0.2502,-0.06411807,0.8922698,-0.8316206,-0.06442173,-0.65840584,0.23769055,-0.06411807,0.40689364,0.5735365
113,0.2502,-0.064381346,0.89213765,-0.83174044,-0.06462973,-0.65851605,0.237718,-0.064381346,0.4063594,0.573161
114,0.2502,-0.06464253,0.8920066,-0.83185905,-0.06483512,-0.65862536,0.23774678,-0.06464253,0.40583506,0.57279325
115,0.2502,-0.06490168,0.89187664,-0.8319765,-0.06503796,-0.6587337,0.23777686,-0.06490168,0.4053204,0.5724331
116,0.2502,-0.06515882,0.8917478,-0.83209264,-0.06523829,-0.6588412,0.23780823,-0.06515882,0.4048153,0.57208043
117,0.2502,-0.065414004,0.89162,-0.8322077,-0.06543616,-0.6589478,0.23784086,-0.065414004,0.40431952,0.5717351
118,0.2501,-0.065667264,0.8914932,-0.8323215,-0.06563163,-0.6590536,0.23787473,-0.065667264,0.40383294,0.57139695
119,0.2501,-0.06591864,0.8913675,-0.83243424,-0.06582473,-0.6591586,0.23790981,-0.06591864,0.40335536,0.5710659
120,0.2501,-0.066168174,0.89124274,-0.8325459,-0.06601553,-0.6592627,0.23794608,-0.066168174,0.40288663,0.5707418
121,0.2501,-0.0664159,0.891119,-0.8326564,-0.066204056,-0.659366,0.23798351,-0.0664159,0.4024266,0.5704245
122,0.2501,-0.06666185,0.8909962,-0.8327658,-0.066390365,-0.65946853,0.23802207,-0.06666185,0.4019751,0.5701139
123,0.2501,-0.06690607,0.8908744,-0.83287424,-0.06657449,-0.6595703,0.23806176,-0.06690607,0.40153193,0.56980985
124,0.2501,-0.067148596,0.89075345,-0.83298165,-0.06675649,-0.6596713,0.23810254,-0.067148596,0.401097,0.56951225
125,0.2501,-0.06738945,0.89063346,-0.83308804,-0.06693639,-0.6597716,0.2381444,-0.06738945,0.4006701,0.56922096
126,0.2501,-0.067628674,0.8905143,-0.8331935,-0.06711424,-0.6598712,0.23818731,-0.067628674,0.40025115,0.5689359
127,0.25,-0.067866296,0.89039606,-0.8332979,-0.06729008,-0.6599701,0.23823126,-0.067866296,0.39983997,0.56865686
128,0.25,-0.06810235,0.89027864,-0.83340144,-0.06746396,-0.6600683,0.23827621,-0.06810235,0.39943638,0.5683839
129,0.25,-0.068336874,0.8901621,-0.833504,-0.0676359,-0.6601658,0.23832217,-0.068336874,0.3990403,0.5681167
130,0.25,-0.06856989,0.89004636,-0.8336057,-0.06780595,-0.66026264,0.23836909,-0.06856989,0.39865157,0.5678553
131,0.25,-0.06880143,0.88993144,-0.8337065,-0.06797415,-0.66035885,0.23841698,-0.06880143,0.39827004,0.56759953
132,0.25,-0.06903153,0.8898173,-0.8338064,-0.06814053,-0.66045445,0.2384658,-0.06903153,0.3978956,0.5673493
133,0.25,-0.06926021,0.8897039,-0.83390546,-0.06830513,-0.6605494,0.23851554,-0.06926021,0.3975281,0.5671046
134,0.25,-0.069487505,0.88959134,-0.8340037,-0.068467975,-0.66064376,0.23856619,-0.069487505,0.39716744,0.56686515
135,0.25,-0.06971344,0.8894795,-0.8341011,-0.06862911,-0.6607375,0.23861772,-0.06971344,0.39681348,0.56663096
136,0.25,-0.06993805,0.8893684,-0.8341977,-0.068788566,-0.66083074,0.23867011,-0.06993805,0.39646608,0.5664019
137,0.25,-0.07016135,0.889258,-0.83429354,-0.06894638,-0.66092336,0.23872335,-0.07016135,0.39612514,0.5661779
138,0.25,-0.07038337,0.88914835,-0.8343886,-0.06910258,-0.66101545,0.23877743,-0.07038337,0.39579052,0.56595886
139,0.25,-0.07060413,0.88903934,-0.8344829,-0.0692572,-0.661107,0.23883232,-0.07060413,0.39546213,0.5657447
140,0.2499,-0.07082366,0.88893104,-0.8345765,-0.06941027,-0.661198,0.23888803,-0.07082366,0.39513984,0.5655353
141,0.2499,-0.07104199,0.8888234,-0.83466935,-0.069561824,-0.66128856,0.2389445,-0.07104199,0.39482355,0.56533056
142,0.2499,-0.07125913,0.8887164,-0.8347615,-0.06971189,-0.66137856,0.23900175,-0.07125913,0.39451313,0.5651304
143,0.2499,-0.07147512,0.88861006,-0.83485293,-0.06986049,-0.6614681,0.23905976,-0.07147512,0.3942085,0.5649348
144,0.2499,-0.07168997,0.8885043,-0.8349437,-0.07000766,-0.66155714,0.23911852,-0.07168997,0.3939095,0.5647436
145,0.2499,-0.07190371,0.88839924,-0.83503383,-0.07015343,-0.6616457,0.239178,-0.07190371,0.3936161,0.5645567
146,0.2499,-0.07211636,0.88829476,-0.8351233,-0.07029782,-0.6617338,0.2392382,-0.07211636,0.39332816,0.56437415
147,0.2499,-0.07232794,0.88819087,-0.8352121,-0.070440866,-0.6618215,0.2392991,-0.07232794,0.39304557,0.56419575
148,0.2499,-0.07253847,0.8880876,-0.83530027,-0.07058259,-0.6619087,0.23936069,-0.07253847,0.39276826,0.56402147
149,0.2499,-0.072747976,0.8879848,-0.8353878,-0.07072302,-0.6619955,0.23942295,-0.072747976,0.3924961,0.56385124
150,0.2499,-0.07295647,0.88788265,-0.8354748,-0.070862174,-0.66208184,0.23948586,-0.07295647,0.39222902,0.56368494
151,0.2499,-0.073163986,0.887781,-0.83556116,-0.071000084,-0.6621678,0.23954943,-0.073163986,0.3919669,0.5635225
152,0.2499,-0.07337053,0.88767993,-0.8356469,-0.07113678,-0.6622533,0.23961364,-0.07337053,0.39170972,0.5633639
153,0.2499,-0.07357612,0.8875794,-0.83573216,-0.07127228,-0.66233844,0.23967846,-0.07357612,0.39145732,0.56320906
154,0.2499,-0.07378078,0.88747936,-0.8358168,-0.0714066,-0.6624232,0.2397439,-0.07378078,0.39120963,0.5630579
155,0.2499,-0.07398453,0.8873799,-0.8359009,-0.071539775,-0.6625076,0.23980995,-0.07398453,0.39096656,0.5629103
156,0.2499,-0.07418739,0.8872809,-0.83598447,-0.07167182,-0.6625916,0.23987657,-0.07418739,0.39072803,0.56276625
