iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
94,0.6926,0.0017218692,-0.107995376,-0.8710334,-0.041683417,0.496169,0.45767346,0.0017218692,-0.7151648,0.84198254
95,0.6926,0.0017584382,-0.108252645,-0.8711896,-0.042140286,0.49621156,0.4577002,0.0017584382,-0.7151524,0.84196144
96,0.6926,0.0017951919,-0.10850975,-0.8713462,-0.042597227,0.49625424,0.45772743,0.0017951919,-0.7151402,0.8419405
97,0.6926,0.0018321313,-0.1087667,-0.87150306,-0.043054238,0.49629703,0.45775518,0.0018321313,-0.7151283,0.84191984
98,0.6926,0.0018692545,-0.10902349,-0.8716603,-0.043511316,0.49633995,0.45778343,0.0018692545,-0.7151166,0.84189934
99,0.6926,0.0019065596,-0.109280124,-0.8718178,-0.04396846,0.49638298,0.4578122,0.0019065596,-0.7151051,0.841879
100,0.6926,0.0019440444,-0.1095366,-0.8719757,-0.044425674,0.49642614,0.4578415,0.0019440444,-0.71509385,0.8418589
101,0.6926,0.0019817087,-0.10979293,-0.8721339,-0.044882953,0.4964694,0.4578713,0.0019817087,-0.7150828,0.8418391
102,0.6926,0.0020195507,-0.110049106,-0.8722924,-0.0453403,0.4965128,0.4579016,0.0020195507,-0.715072,0.8418194
103,0.6926,0.0020575689,-0.11030513,-0.87245125,-0.045797706,0.4965563,0.4579324,0.0020575689,-0.71506137,0.8418
104,0.6926,0.0020957624,-0.110561006,-0.8726104,-0.046255175,0.49659994,0.45796376,0.0020957624,-0.71505094,0.8417808
105,0.6926,0.0021341299,-0.110816725,-0.8727699,-0.046712708,0.4966437,0.45799562,0.0021341299,-0.71504074,0.8417618
106,0.6926,0.00217267,-0.1110723,-0.8729297,-0.047170304,0.49668756,0.458028,0.00217267,-0.7150307,0.84174305
107,0.6926,0.002211382,-0.11132773,-0.8730898,-0.04762796,0.49673155,0.4580609,0.002211382,-0.7150209,0.8417245
108,0.6926,0.0022502635,-0.11158301,-0.87325025,-0.048085675,0.49677566,0.4580943,0.0022502635,-0.7150113,0.8417062
109,0.6926,0.0022893152,-0.11183814,-0.873411,-0.04854345,0.49681988,0.4581282,0.0022893152,-0.7150019,0.84168816
110,0.6926,0.0023285358,-0.11209313,-0.87357205,-0.049001284,0.49686423,0.45816267,0.0023285358,-0.71499264,0.84167033
111,0.6926,0.0023679242,-0.11234797,-0.87373346,-0.049459178,0.4969087,0.45819762,0.0023679242,-0.7149836,0.84165275
112,0.6926,0.0024074789,-0.112602666,-0.87389517,-0.049917128,0.49695325,0.4582331,0.0024074789,-0.7149747,0.84163547
113,0.6926,0.0024472,-0.11285722,-0.87405723,-0.050375137,0.49699792,0.4582691,0.0024472,-0.714966,0.8416184
114,0.6926,0.0024870855,-0.11311164,-0.8742196,-0.050833203,0.49704272,0.4583056,0.0024870855,-0.7149575,0.8416016
115,0.6926,0.0025271357,-0.11336591,-0.87438226,-0.051291328,0.49708763,0.45834264,0.0025271357,-0.71494913,0.84158504
116,0.6926,0.0025673497,-0.11362004,-0.8745453,-0.05174951,0.49713266,0.4583802,0.0025673497,-0.71494097,0.8415687
117,0.6926,0.0026077258,-0.11387403,-0.8747086,-0.052207746,0.49717778,0.45841825,0.0026077258,-0.7149329,0.8415527
118,0.6925,0.002648264,-0.11412788,-0.8748722,-0.05266604,0.49722302,0.45845684,0.002648264,-0.71492505,0.8415369
119,0.6925,0.0026889632,-0.1143816,-0.8750362,-0.053124387,0.49726838,0.45849594,0.0026889632,-0.71491736,0.8415213
120,0.6925,0.0027298236,-0.11463517,-0.87520045,-0.05358279,0.49731386,0.45853558,0.0027298236,-0.71490985,0.84150606
121,0.6925,0.0027708441,-0.11488861,-0.875365,-0.05404125,0.49735942,0.45857573,0.0027708441,-0.7149025,0.84149104
122,0.6925,0.0028120235,-0.115141906,-0.87552994,-0.054499768,0.4974051,0.4586164,0.0028120235,-0.7148953,0.8414763
123,0.6925,0.0028533617,-0.11539507,-0.87569517,-0.05495834,0.49745092,0.4586576,0.0028533617,-0.7148883,0.84146184
124,0.6925,0.0028948586,-0.1156481,-0.8758607,-0.055416968,0.49749684,0.4586993,0.0028948586,-0.71488136,0.84144765
125,0.6925,0.002936513,-0.11590099,-0.8760265,-0.05587565,0.49754286,0.45874152,0.002936513,-0.7148746,0.8414337
