iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
117,0.2502,0.02051831,-0.66088593,0.47365972,0.06731624,0.52608186,-0.24249884,0.02051831,-0.096436225,-0.8212805
118,0.2501,0.02080962,-0.660794,0.47367373,0.067994356,0.52622026,-0.24266914,0.02080962,-0.09702595,-0.82092184
119,0.2501,0.021102833,-0.6607015,0.4736908,0.06867312,0.5263598,-0.24284153,0.021102833,-0.09761559,-0.8205648
120,0.2501,0.021397946,-0.6606084,0.47371092,0.06935253,0.52650046,-0.24301603,0.021397946,-0.09820515,-0.8202094
121,0.2501,0.02169496,-0.6605147,0.4737341,0.07003258,0.5266422,-0.24319266,0.02169496,-0.09879464,-0.8198555
122,0.2501,0.021993876,-0.6604204,0.47376034,0.07071327,0.5267851,-0.24337141,0.021993876,-0.09938408,-0.81950325
123,0.2501,0.02229469,-0.6603255,0.4737896,0.07139458,0.5269291,-0.2435523,0.02229469,-0.09997348,-0.8191526
124,0.2501,0.022597406,-0.66023004,0.4738219,0.07207651,0.5270742,-0.24373533,0.022597406,-0.100562856,-0.81880355
125,0.25,0.02290202,-0.66013396,0.47385725,0.072759055,0.5272205,-0.24392052,0.02290202,-0.10115223,-0.81845605
126,0.25,0.02320853,-0.66003734,0.47389564,0.07344221,0.5273679,-0.24410787,0.02320853,-0.101741605,-0.81811017
127,0.25,0.02351694,-0.6599401,0.47393703,0.07412597,0.5275164,-0.24429739,0.02351694,-0.102331005,-0.81776583
128,0.25,0.023827247,-0.6598423,0.47398147,0.07481032,0.5276661,-0.24448907,0.023827247,-0.10292044,-0.8174231
129,0.25,0.02413945,-0.65974396,0.47402892,0.075495265,0.5278169,-0.24468295,0.02413945,-0.10350993,-0.8170819
130,0.25,0.02445355,-0.659645,0.47407937,0.0761808,0.5279688,-0.244879,0.02445355,-0.10409948,-0.81674236
131,0.25,0.024769546,-0.65954554,0.47413284,0.07686692,0.5281219,-0.24507727,0.024769546,-0.104689114,-0.81640434
132,0.2499,0.025087439,-0.65944546,0.47418928,0.07755361,0.52827615,-0.24527773,0.025087439,-0.105278835,-0.8160679
133,0.2499,0.025407227,-0.65934485,0.47424874,0.07824087,0.52843153,-0.2454804,0.025407227,-0.10586866,-0.81573296
134,0.2499,0.025728911,-0.6592437,0.47431117,0.0789287,0.5285881,-0.24568528,0.025728911,-0.106458604,-0.8153996
135,0.2499,0.02605249,-0.65914196,0.47437662,0.0796171,0.52874583,-0.24589238,0.02605249,-0.10704868,-0.81506777
136,0.2499,0.026377965,-0.6590397,0.47444504,0.08030605,0.52890474,-0.2461017,0.026377965,-0.10763892,-0.8147375
137,0.2499,0.026705334,-0.65893686,0.47451645,0.08099557,0.52906483,-0.24631327,0.026705334,-0.10822932,-0.8144088
138,0.2499,0.0270346,-0.6588335,0.47459084,0.08168563,0.5292261,-0.24652708,0.0270346,-0.10881989,-0.8140816
139,0.2499,0.027365759,-0.65872955,0.4746682,0.08237625,0.52938855,-0.24674313,0.027365759,-0.10941065,-0.813756
140,0.2498,0.027698813,-0.65862507,0.47474855,0.08306742,0.52955216,-0.24696143,0.027698813,-0.110001616,-0.8134319
141,0.2498,0.028033761,-0.65852004,0.47483185,0.08375913,0.52971697,-0.24718198,0.028033761,-0.110592805,-0.81310934
142,0.2498,0.028370606,-0.6584145,0.47491813,0.08445138,0.52988297,-0.2474048,0.028370606,-0.111184224,-0.8127883
143,0.2498,0.028709345,-0.6583084,0.47500739,0.08514416,0.5300502,-0.24762988,0.028709345,-0.11177589,-0.8124688
144,0.2498,0.029049978,-0.65820175,0.4750996,0.08583748,0.53021866,-0.24785723,0.029049978,-0.11236782,-0.81215084
145,0.2498,0.029392507,-0.65809464,0.47519475,0.08653134,0.5303883,-0.24808685,0.029392507,-0.11296003,-0.8118344
146,0.2498,0.02973693,-0.657987,0.47529286,0.08722573,0.5305592,-0.24831876,0.02973693,-0.113552526,-0.81151944
147,0.2497,0.03008325,-0.6578788,0.47539392,0.08792064,0.53073126,-0.24855295,0.03008325,-0.11414532,-0.81120604
148,0.2497,0.030431466,-0.6577701,0.47549796,0.08861608,0.5309046,-0.24878943,0.030431466,-0.11473844,-0.81089413
149,0.2497,0.030781576,-0.6576609,0.47560495,0.08931205,0.5310791,-0.2490282,0.030781576,-0.11533189,-0.8105837
150,0.2497,0.031133583,-0.65755117,0.47571486,0.090008534,0.5312549,-0.24926929,0.031133583,-0.11592568,-0.81027484
151,0.2497,0.031487487,-0.65744096,0.47582772,0.090705544,0.5314319,-0.24951267,0.031487487,-0.11651983,-0.80996746
152,0.2497,0.031843286,-0.6573302,0.47594354,0.09140307,0.53161013,-0.24975836,0.031843286,-0.11711435,-0.80966157
153,0.2497,0.03220098,-0.657219,0.4760623,0.09210111,0.5317896,-0.25000638,0.03220098,-0.11770926,-0.80935717
154,0.2496,0.032560576,-0.65710723,0.47618398,0.09279967,0.5319703,-0.25025672,0.032560576,-0.118304566,-0.80905426
155,0.2496,0.032922067,-0.656995,0.4763086,0.093498744,0.53215235,-0.25050938,0.032922067,-0.118900284,-0.8087529
156,0.2496,0.033285458,-0.6568823,0.47643617,0.09419833,0.53233564,-0.25076437,0.033285458,-0.119496435,-0.808453
157,0.2496,0.033650745,-0.65676904,0.47656667,0.09489843,0.5325202,-0.25102168,0.033650745,-0.120093025,-0.80815464
158,0.2496,0.03401793,-0.6566553,0.4767001,0.09559904,0.53270596,-0.25128132,0.03401793,-0.12069007,-0.80785775
159,0.2496,0.03438702,-0.6565411,0.47683647,0.096300155,0.53289306,-0.2515433,0.03438702,-0.121287584,-0.80756235
160,0.2496,0.034758005,-0.6564264,0.47697577,0.09700178,0.5330814,-0.25180763,0.034758005,-0.12188558,-0.80726844
161,0.2495,0.035130892,-0.6563113,0.477118,0.09770392,0.5332711,-0.2520743,0.035130892,-0.12248407,-0.806976
162,0.2495,0.03550568,-0.65619564,0.47726315,0.09840656,0.53346205,-0.25234333,0.03550568,-0.12308308,-0.80668503
