iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
120,0.667,-0.042200778,0.21974495,-0.9447269,-0.028093956,0.59870875,-0.63436437,-0.042200778,-0.57411,-0.7536117
121,0.6666,-0.042131122,0.21837232,-0.9466852,-0.027386433,0.5978548,-0.639103,-0.042131122,-0.5742646,-0.75591934
122,0.6662,-0.042058848,0.21701303,-0.94865805,-0.026665198,0.5970145,-0.64383894,-0.042058848,-0.57443315,-0.7582503
123,0.6658,-0.041983977,0.21566701,-0.9506454,-0.02593023,0.5961878,-0.64857227,-0.041983977,-0.57461554,-0.76060444
124,0.6654,-0.04190652,0.21433417,-0.95264715,-0.025181504,0.5953745,-0.65330297,-0.04190652,-0.57481164,-0.76298165
125,0.665,-0.04182651,0.21301442,-0.9546633,-0.024418995,0.5945747,-0.65803117,-0.04182651,-0.5750214,-0.7653818
126,0.6646,-0.041743964,0.21170768,-0.9566937,-0.023642685,0.5937882,-0.66275686,-0.041743964,-0.5752446,-0.7678048
127,0.6642,-0.041658908,0.21041387,-0.9587384,-0.02285256,0.593015,-0.6674802,-0.041658908,-0.57548124,-0.7702505
128,0.6637,-0.041571368,0.2091329,-0.9607973,-0.022048607,0.592255,-0.6722011,-0.041571368,-0.5757312,-0.7727188
129,0.6633,-0.04148136,0.20786469,-0.96287036,-0.021230813,0.59150815,-0.6769197,-0.04148136,-0.57599443,-0.7752095
130,0.6629,-0.041388918,0.20660916,-0.9649575,-0.020399176,0.59077436,-0.68163604,-0.041388918,-0.57627076,-0.77772254
131,0.6625,-0.041294068,0.20536624,-0.9670586,-0.019553691,0.59005356,-0.68635017,-0.041294068,-0.5765601,-0.7802578
132,0.6621,-0.04119683,0.20413585,-0.9691737,-0.018694352,0.58934575,-0.69106215,-0.04119683,-0.5768624,-0.78281516
133,0.6617,-0.04109724,0.2029179,-0.97130275,-0.017821167,0.5886508,-0.695772,-0.04109724,-0.5771775,-0.78539443
134,0.6613,-0.04099532,0.20171233,-0.97344565,-0.016934134,0.5879687,-0.70047975,-0.04099532,-0.57750547,-0.7879955
135,0.6608,-0.0408911,0.20051904,-0.9756023,-0.016033268,0.5872993,-0.7051855,-0.0408911,-0.57784605,-0.7906183
136,0.6604,-0.040784612,0.19933797,-0.9777728,-0.015118579,0.58664256,-0.70988923,-0.040784612,-0.57819927,-0.79326266
137,0.66,-0.04067589,0.19816905,-0.9799569,-0.014190078,0.5859985,-0.7145911,-0.04067589,-0.578565,-0.7959285
138,0.6596,-0.040564958,0.1970122,-0.9821547,-0.013247784,0.58536696,-0.71929103,-0.040564958,-0.5789432,-0.7986156
139,0.6591,-0.04045186,0.19586734,-0.9843661,-0.012291716,0.58474797,-0.7239891,-0.04045186,-0.5793338,-0.8013239
140,0.6587,-0.040336616,0.19473441,-0.98659104,-0.011321899,0.58414143,-0.72868544,-0.040336616,-0.5797367,-0.80405325
141,0.6583,-0.040219266,0.19361334,-0.98882943,-0.010338355,0.5835473,-0.73338,-0.040219266,-0.58015186,-0.80680346
